,screen_name,location,position,bogus,age
4860,ChantalGarman,"London, England","(51.5073219, -0.1276474)",False,156262134.0
4864,monhublot,"London, England",,False,223950486.0
4883,SwordEmma,"London, England",,False,153483879.0
4889,sarachaves6,"London, England",,False,132581111.0
4904,dalerapley,"London, England",,False,139100377.0
4926,donluigi87,"London, England",,False,135480116.0
4927,fabricofmylife,"London, England",,False,229070083.0
4940,DEADRETRO,"London, England",,False,57664030.0
4946,tabithaProspero,"London, England",,False,160304859.0
4968,Gerosimov,"London, England",,False,241875016.0
4995,Sezzer64,"London, England",,False,100682914.0
5013,Sporadicstuff,"London, England",,False,144419740.0
5017,misterglister,"London, England",,False,174319871.0
5039,DrPWoodgate,"London, England",,False,217071634.0
5049,SachaNauta,"London, England",,False,114178254.0
5055,granty3333,"London, England","(51.5073219, -0.1276474)",False,227209109.0
5070,Moti_xoxo,"London, England","(51.5073219, -0.1276474)",False,153712676.0
5108,j_greenwood,"London, England",,False,229587799.0
5140,tomdaviesE17,"London, England",,False,203065116.0
5160,grobertsborsani,"London, England","(51.5073219, -0.1276474)",False,1579541.0
5165,michellehallett,"London, England",,False,155203508.0
5177,Maximillian96,"London, England","(51.5073219, -0.1276474)",False,196597803.0
5187,KatherinePurvis,"London, England",,False,218706686.0
5222,blueybirdy,"London, England",,False,249815262.0
5225,TimHoiles,"London, England",,False,147106414.0
5226,energyoracle,"London, England",,False,214140199.0
5228,peoplesintweets,"London, England","(51.5073219, -0.1276474)",False,1934679.0
5230,DesignByAdrian,"London, England",,False,241425007.0
5232,TelePolitics,"London, England",,False,233492177.0
5239,hellohonne,"London, England",,False,81910616.0
5274,LSEnews,"London, England",,False,190113788.0
5317,politicians4us,"London, England","(51.5073219, -0.1276474)",False,40641436.0
5324,BenParkerMusic,"London, England","(51.5073219, -0.1276474)",False,234016836.0
5352,365Disc_London,"London, England",,False,36927195.0
5360,MartaWaydel,"London, England",,False,164351789.0
5373,lybero,"London, England",,False,286227582.0
5375,Iain_Coleman,"London, England",,False,233044076.0
5382,HolsTurner,"London, England",,False,114393568.0
5395,News4Security,"London, England",,False,72711634.0
5403,isofarro,"London, England",,False,253866728.0
5427,BoxBrit,"London, England","(51.5073219, -0.1276474)",False,142348186.0
5465,SBatrakova,"London, England",,False,175399655.0
5487,AbstractJohn,"London, England",,False,84167938.0
5488,reallovelyjane,"London, England",,False,180556385.0
5505,RossMatthewman7,"London, England",,False,178257958.0
5519,catherinegravy,"London, England",,False,182147605.0
5532,Swingometer,"London, England",,False,220169268.0
5535,LaurenMarieeee_,"London, England",,False,128658925.0
5537,SedarOlmez,"London, England","(51.5073219, -0.1276474)",False,36323386.0
5547,Joshua_Barritt,"London, England","(51.5073219, -0.1276474)",False,31674262.0
5559,stratageeb1,"London, England",,False,146712889.0
5589,Shonalee_,"London, England",,False,179379802.0
5607,kristofadamson,"London, England","(51.5073219, -0.1276474)",False,21983223.0
5608,markcote,"London, England",,False,238453154.0
5618,hiimfabia,"London, England",,False,95952265.0
5659,TheGayChrist,"London, England","(51.5073219, -0.1276474)",False,32582771.0
5667,RossSPurves,"London, England","(51.5073219, -0.1276474)",False,247212008.0
5673,jo_hannan,"London, England",,False,201511249.0
5686,sarabainbridge,"London, England",,False,187796102.0
5687,oliviapienaar,"London, England",,False,213249473.0
5720,BillysDiaries,"London, England",,False,154655094.0
5726,JamesLacy1,"London, England",,False,167282422.0
5736,Sidd3rz92,"London, England","(51.5073219, -0.1276474)",False,159428981.0
5802,helenalexlock,"London, England",,False,180325419.0
5803,EllaMason,"London, England",,False,222272557.0
5816,DeeDot85,"London, England","(51.5073219, -0.1276474)",False,139627244.0
5828,JoeSparrowhawk,"London, England",,False,137479828.0
5832,scottwrigg,"London, England",,False,219614818.0
5874,tomfrench85,"London, England","(51.5073219, -0.1276474)",False,191882587.0
5884,TheSwallocaust,"London, England",,False,233389726.0
5891,KayBurley,"London, England",,False,102503461.0
5897,NaekComms,"London, England",,False,92820714.0
5916,say_shannon,"London, England",,False,184576023.0
5935,emmabell42,"London, England",,False,231053269.0
5947,ThomasBardon,"London, England",,False,125647213.0
5989,ClareMagu,"London, England",,False,231983079.0
5993,rdafyddarnold,"London, England",,False,153580428.0
5995,disasterhistory,"London, England",,False,146222572.0
6002,FarmanKeyvan,"London, England",,False,138350383.0
6005,KateW12studios,"London, England",,False,59312278.0
6009,Douglatini,"London, England","(51.5073219, -0.1276474)",False,206781807.0
6013,Agn1sh,"London, England",,False,89861594.0
6028,susiechoo1,"London, England",,False,175783205.0
6036,EAsteveWaterloo,"London, England",,False,91938156.0
6071,Yogeshg1977,"London, England","(51.5073219, -0.1276474)",False,184214054.0
6088,AnnaMcKerrow,"London, England",,False,227450834.0
6090,30secVid,"London, England",,False,68402903.0
6095,lorihoulihan13,"London, England",,False,47800526.0
6097,jenniferymli,"London, England",,False,112275596.0
6128,BBCPropaganda,"London, England",,False,142306154.0
6131,natsspowell,"London, England","(51.5073219, -0.1276474)",False,117607752.0
6139,natlondon,"London, England",,False,225390797.0
6145,mryan815,"London, England","(51.5073219, -0.1276474)",False,56194426.0
6147,AnnieRoweCasts,"London, England",,False,176121021.0
6151,maynon2013,"London, England","(51.5073219, -0.1276474)",False,95703529.0
6159,AmbitiousAutism,"London, England",,False,167043678.0
6172,mexicansteven,"London, England","(51.5073219, -0.1276474)",False,132694847.0
6176,AnothProd,"London, England",,False,166540636.0
6199,JCDTozer,"London, England",,False,40709033.0
6200,NibiruRecords,"London, England",,False,73820223.0
6209,LSFF,"London, England",,False,205979432.0
6210,BeckyLucie,"London, England",,False,220707833.0
6223,jasonokund,"London, England",,False,155555308.0
6226,EleanorFranzen,"London, England","(51.5073219, -0.1276474)",False,75709609.0
6256,TheMeyerDancers,"London, England",,False,224734085.0
6261,COdendahl,"London, England",,False,142575236.0
6271,Silva,"London, England",,False,171929121.0
6278,DavidBudworth1,"London, England",,False,145529190.0
6290,TheTLS,"London, England",,False,269695501.0
